Rank,Team,G,Opp 3rd Conv,Opp 3rd Att,Pct
1,Michigan St.,2,3,28,.107
2,Duke,3,4,34,.118
3,UTSA,2,3,24,.125
4,Vanderbilt,3,6,42,.143
5,Southern Miss.,3,6,41,.146
6,Syracuse,3,7,43,.163
7,UCF,1,2,12,.167
8,Florida St.,1,3,16,.188
9,Oregon,3,10,47,.213
10,Mississippi St.,3,9,42,.214
11,Iowa,3,9,38,.237
12,Rutgers,3,11,46,.239
13,Michigan,3,11,45,.244
-,Cincinnati,3,11,45,.244
15,Texas St.,3,10,40,.250
16,Notre Dame,3,13,51,.255
17,Colorado,3,12,47,.255
18,TCU,3,11,42,.262
-,Minnesota,3,11,42,.262
20,Virginia,3,10,38,.263
21,West Virginia,3,12,45,.267
22,Texas,3,11,41,.268
23,Virginia Tech,3,14,52,.269
24,Utah,3,12,44,.273
25,Eastern Mich.,2,9,32,.281
26,Washington,3,14,49,.286
-,Wisconsin,3,12,42,.286
-,Navy,2,8,28,.286
-,Air Force,2,8,28,.286
30,Central Mich.,3,15,52,.288
31,Clemson,3,15,50,.300
32,Kentucky,3,13,43,.302
-,Texas A&M;,3,13,43,.302
34,Fresno St.,3,10,33,.303
35,Georgia,3,14,46,.304
36,Wake Forest,3,15,49,.306
-,Auburn,3,15,49,.306
38,Ohio,3,13,42,.310
39,Ole Miss,3,14,45,.311
40,Akron,3,11,35,.314
41,Idaho,3,14,44,.318
42,LSU,3,12,37,.324
43,Northern Ill.,3,20,60,.333
-,Boise St.,3,16,48,.333
-,Washington St.,3,14,42,.333
46,South Fla.,3,18,53,.340
47,New Mexico St.,3,15,44,.341
48,Old Dominion,3,16,46,.348
-,Georgia St.,2,8,23,.348
50,Purdue,3,14,40,.350
51,Ball St.,3,13,37,.351
52,Boston College,3,18,51,.353
-,Florida,2,12,34,.353
54,Appalachian St.,3,16,45,.356
55,Marshall,3,15,42,.357
-,Southern California,3,15,42,.357
57,New Mexico,3,17,47,.362
58,Penn St.,3,20,55,.364
59,Kansas,3,15,41,.366
-,Oklahoma,3,15,41,.366
61,Buffalo,3,18,49,.367
62,Louisiana Tech,3,14,38,.368
63,Ohio St.,3,17,46,.370
64,Army West Point,3,12,32,.375
-,La.-Monroe,2,12,32,.375
66,San Diego St.,3,14,37,.378
67,San Jose St.,4,25,66,.379
68,UConn,2,11,29,.379
69,Middle Tenn.,3,19,50,.380
70,Georgia Tech,2,8,21,.381
71,Kansas St.,3,18,47,.383
72,Ga. Southern,2,10,26,.385
73,Houston,2,12,31,.387
74,UAB,3,18,46,.391
-,Arizona,3,18,46,.391
-,Fla. Atlantic,3,18,46,.391
77,Toledo,3,17,43,.395
78,Massachusetts,4,25,63,.397
79,North Carolina,3,20,49,.408
-,UCLA,3,20,49,.408
81,South Ala.,3,16,39,.410
82,Tulane,3,14,34,.412
83,Alabama,3,17,41,.415
-,Louisville,3,17,41,.415
85,BYU,4,23,55,.418
86,Indiana,2,18,43,.419
87,California,3,21,50,.420
-,Troy,3,21,50,.420
89,Nevada,3,22,52,.423
90,Kent St.,3,17,40,.425
-,Nebraska,3,17,40,.425
92,SMU,3,18,42,.429
-,UNLV,2,15,35,.429
-,FIU,2,12,28,.429
95,Oklahoma St.,3,22,51,.431
96,Arkansas,2,13,30,.433
-,Arkansas St.,2,13,30,.433
-,Texas Tech,2,13,30,.433
99,NC State,3,19,43,.442
100,North Texas,3,24,54,.444
-,Miami (OH),3,20,45,.444
102,Western Mich.,3,17,38,.447
-,Charlotte,3,17,38,.447
104,Baylor,3,26,58,.448
105,Temple,3,19,42,.452
106,Utah St.,3,20,44,.455
107,South Carolina,3,23,50,.460
108,Tennessee,3,20,43,.465
109,Wyoming,3,22,47,.468
110,Miami (FL),1,8,17,.471
111,Northwestern,3,25,53,.472
112,Iowa St.,3,21,44,.477
113,Pittsburgh,3,18,37,.486
114,Colorado St.,4,29,58,.500
-,Western Ky.,3,24,48,.500
-,Missouri,3,24,48,.500
-,Stanford,3,22,44,.500
-,Rice,3,19,38,.500
-,Maryland,2,18,36,.500
-,UTEP,3,16,32,.500
121,Illinois,3,26,51,.510
122,Louisiana,3,23,45,.511
123,East Carolina,3,20,39,.513
124,Memphis,2,18,35,.514
125,Oregon St.,4,27,52,.519
126,Hawaii,3,22,42,.524
-,Bowling Green,3,22,42,.524
128,Tulsa,3,15,28,.536
129,Arizona St.,3,24,44,.545
