Rank,Team,G,Pass Att,Pass Com,Int,Pass Yds,Yds/Att,Yds/Comp,Pass TD,YPG
1,Texas Tech,2,85,68,0,992,11.67,14.59,10,496.0
2,UCLA,3,144,93,2,1327,9.22,14.27,13,442.3
3,UCF,1,33,26,1,439,13.30,16.88,4,439.0
4,Oklahoma,3,101,79,0,1316,13.03,16.66,12,438.7
5,Ole Miss,3,122,86,4,1281,10.50,14.90,11,427.0
6,Washington St.,3,173,131,2,1225,7.08,9.35,12,408.3
7,Oklahoma St.,3,104,73,1,1222,11.75,16.74,11,407.3
8,Arkansas St.,2,102,72,2,771,7.56,10.71,9,385.5
9,New Mexico St.,3,160,106,3,1130,7.06,10.66,10,376.7
10,West Virginia,3,122,79,2,1108,9.08,14.03,12,369.3
11,Louisville,3,127,76,1,1088,8.57,14.32,8,362.7
12,Kansas,3,146,85,5,1030,7.05,12.12,6,343.3
13,NC State,3,130,98,0,1004,7.72,10.24,6,334.7
-,Toledo,3,94,60,2,1004,10.68,16.73,8,334.7
15,Southern California,3,110,72,6,1002,9.11,13.92,7,334.0
16,Central Mich.,3,137,79,3,997,7.28,12.62,8,332.3
17,Virginia,3,146,96,1,976,6.68,10.17,7,325.3
18,Oregon,3,90,66,2,971,10.79,14.71,5,323.7
19,Massachusetts,4,155,94,1,1290,8.32,13.72,6,322.5
20,SMU,3,102,52,3,955,9.36,18.37,10,318.3
21,Arizona St.,3,104,71,0,945,9.09,13.31,7,315.0
22,Iowa St.,3,115,76,2,935,8.13,12.30,8,311.7
23,Indiana,2,98,61,3,617,6.30,10.11,5,308.5
24,Colorado St.,4,164,96,6,1227,7.48,12.78,8,306.8
25,Washington,3,86,66,1,905,10.52,13.71,8,301.7
26,Missouri,3,94,47,5,899,9.56,19.13,8,299.7
27,Colorado,3,106,73,3,898,8.47,12.30,6,299.3
28,Northwestern,3,102,66,3,896,8.78,13.58,5,298.7
29,Syracuse,3,131,83,2,892,6.81,10.75,5,297.3
30,Texas,3,122,71,3,890,7.30,12.54,5,296.7
31,Utah,3,113,81,2,882,7.81,10.89,5,294.0
32,Houston,2,70,59,2,579,8.27,9.81,3,289.5
33,North Carolina,3,108,70,2,864,8.00,12.34,5,288.0
34,East Carolina,3,130,62,6,861,6.62,13.89,4,287.0
35,Purdue,3,115,75,4,860,7.48,11.47,10,286.7
36,North Texas,3,100,67,3,849,8.49,12.67,7,283.0
37,Penn St.,3,88,57,2,846,9.61,14.84,10,282.0
38,Virginia Tech,3,89,56,0,845,9.49,15.09,8,281.7
39,Southern Miss.,3,104,59,1,839,8.07,14.22,7,279.7
40,TCU,3,91,68,2,831,9.13,12.22,10,277.0
41,Fresno St.,3,114,70,2,824,7.23,11.77,6,274.7
