Rank,Team,G,Opp Cpl,Opp Pass,Opp Pass Yds,Opp Pass TDs,Yds/Att,Yds/Comp,YPG
1,Air Force,1,10,19,40,0,2.11,4.00,40.0
-,Clemson,2,14,29,80,0,2.76,5.71,40.0
3,Wyoming,2,10,22,147,3,6.68,14.70,73.5
4,Mississippi St.,2,16,38,178,1,4.68,11.13,89.0
5,TCU,2,16,37,179,1,4.84,11.19,89.5
6,Appalachian St.,2,16,38,184,1,4.84,11.50,92.0
7,Florida St.,1,10,18,96,1,5.33,9.60,96.0
8,Auburn,2,24,40,193,0,4.83,8.04,96.5
9,La.-Monroe,1,10,25,97,0,3.88,9.70,97.0
10,Wake Forest,2,20,50,204,1,4.08,10.20,102.0
11,Vanderbilt,2,26,52,210,1,4.04,8.08,105.0
12,Tennessee,2,14,29,213,1,7.34,15.21,106.5
13,Michigan St.,2,22,58,224,0,3.86,10.18,112.0
14,Southern Miss.,2,21,46,254,1,5.52,12.10,127.0
15,Buffalo,2,21,40,256,1,6.40,12.19,128.0
-,Kansas St.,2,37,60,256,1,4.27,6.92,128.0
17,Arkansas,2,35,60,261,1,4.35,7.46,130.5
18,Duke,2,25,51,263,1,5.16,10.52,131.5
19,Washington St.,2,24,40,265,2,6.63,11.04,132.5
20,Southern California,2,27,51,266,3,5.22,9.85,133.0
21,Virginia,2,26,43,269,2,6.26,10.35,134.5
22,Penn St.,2,38,70,273,0,3.90,7.18,136.5
23,UTSA,1,11,27,137,1,5.07,12.45,137.0
24,LSU,2,27,56,276,0,4.93,10.22,138.0
25,Oklahoma,2,35,62,277,0,4.47,7.91,138.5
26,Tulane,2,19,39,280,1,7.18,14.74,140.0
27,Idaho,2,20,41,288,1,7.02,14.40,144.0
28,Troy,2,34,60,290,1,4.83,8.53,145.0
-,Georgia St.,1,12,25,145,0,5.80,12.08,145.0
30,Georgia Tech,2,28,51,294,3,5.76,10.50,147.0
31,Washington,2,43,66,310,2,4.70,7.21,155.0
-,Cincinnati,2,26,48,310,3,6.46,11.92,155.0
33,Eastern Mich.,2,29,67,312,1,4.66,10.76,156.0
34,Ball St.,2,25,43,313,1,7.28,12.52,156.5
-,Ga. Southern,2,28,48,313,4,6.52,11.18,156.5
-,Michigan,2,29,66,313,1,4.74,10.79,156.5
37,Fla. Atlantic,2,20,40,317,2,7.93,15.85,158.5
38,Northern Ill.,2,40,74,318,2,4.30,7.95,159.0
-,Miami (OH),2,31,48,318,1,6.63,10.26,159.0
40,Ole Miss,2,29,48,319,1,6.65,11.00,159.5
41,Oklahoma St.,2,34,62,322,1,5.19,9.47,161.0
42,UCLA,2,33,69,323,2,4.68,9.79,161.5
