Rank,Team,G,Opp RZAtt,Opp RZ Rush TD,Opp RZ Pass TD,Opp RZ FG Made,Opp RZScores,Pct
1,UCF,1,0,0,0,0,0,.000
2,Vanderbilt,3,4,1,0,0,1,.250
3,Maryland,2,5,1,1,0,2,.400
4,Virginia,3,7,2,1,0,3,.429
5,Colorado,3,4,0,0,2,2,.500
-,Michigan St.,2,2,0,0,1,1,.500
-,UTSA,2,4,0,1,1,2,.500
8,Arizona,3,13,3,2,2,7,.538
9,TCU,3,7,1,0,3,4,.571
-,Florida,2,7,1,0,3,4,.571
-,Colorado St.,4,7,2,0,2,4,.571
12,Southern Miss.,3,5,2,0,1,3,.600
-,Texas,3,10,2,2,2,6,.600
-,Penn St.,3,5,1,0,2,3,.600
15,Fla. Atlantic,3,8,3,1,1,5,.625
-,Oklahoma St.,3,8,2,2,1,5,.625
-,Virginia Tech,3,8,0,3,2,5,.625
-,Wisconsin,3,8,2,0,3,5,.625
19,California,3,11,4,1,2,7,.636
-,Army West Point,3,11,3,2,2,7,.636
21,Mississippi St.,3,6,2,1,1,4,.667
-,Syracuse,3,6,1,2,1,4,.667
-,Marshall,3,9,2,2,2,6,.667
-,Buffalo,3,9,5,0,1,6,.667
25,Northern Ill.,3,13,3,2,4,9,.692
-,Nebraska,3,13,4,4,1,9,.692
-,South Carolina,3,13,4,2,3,9,.692
28,Cincinnati,3,10,2,2,3,7,.700
29,Arkansas St.,2,7,2,1,2,5,.714
-,Miami (OH),3,7,0,1,4,5,.714
-,Kansas St.,3,7,2,2,1,5,.714
32,Southern California,3,11,2,4,2,8,.727
33,Central Mich.,3,15,4,3,4,11,.733
-,Illinois,3,15,5,4,2,11,.733
35,Michigan,3,4,1,1,1,3,.750
-,Auburn,3,4,1,1,1,3,.750
-,Alabama,3,8,1,3,2,6,.750
-,Minnesota,3,4,1,2,0,3,.750
-,Georgia St.,2,8,3,2,1,6,.750
-,Kentucky,3,8,1,3,2,6,.750
-,Houston,2,4,1,0,2,3,.750
-,Appalachian St.,3,8,3,0,3,6,.750
-,Louisiana Tech,3,12,5,2,2,9,.750
-,SMU,3,8,3,3,0,6,.750
45,BYU,4,22,5,5,7,17,.773
46,UNLV,2,9,4,2,1,7,.778
-,UConn,2,9,3,1,3,7,.778
-,North Texas,3,9,3,3,1,7,.778
49,Hawaii,3,14,5,5,1,11,.786
50,Ohio St.,3,10,2,5,1,8,.800
-,West Virginia,3,10,3,2,3,8,.800
-,Memphis,2,10,4,3,1,8,.800
-,FIU,2,10,4,3,1,8,.800
-,Wake Forest,3,5,1,1,2,4,.800
-,UAB,3,10,5,2,1,8,.800
-,La.-Monroe,2,5,1,2,1,4,.800
-,UCLA,3,15,5,5,2,12,.800
-,Troy,3,5,0,3,1,4,.800
-,Temple,3,15,5,5,2,12,.800
60,Fresno St.,3,11,3,4,2,9,.818
-,Purdue,3,11,3,2,4,9,.818
-,Boise St.,3,11,2,3,4,9,.818
-,Pittsburgh,3,11,4,3,2,9,.818
-,Baylor,3,11,1,2,6,9,.818
65,Middle Tenn.,3,12,5,1,4,10,.833
-,NC State,3,6,1,2,2,5,.833
-,North Carolina,3,12,3,4,3,10,.833
-,Arkansas,2,6,4,1,0,5,.833
-,Clemson,3,6,0,2,3,5,.833
-,Massachusetts,4,18,5,6,4,15,.833
-,Western Ky.,3,12,2,2,6,10,.833
-,San Diego St.,3,6,1,2,2,5,.833
-,South Ala.,3,12,2,4,4,10,.833
-,Northwestern,3,12,4,2,4,10,.833
-,New Mexico,3,6,1,4,0,5,.833
-,Akron,3,12,6,3,1,10,.833
77,Nevada,3,19,5,4,7,16,.842
78,Kansas,3,13,3,7,1,11,.846
-,Ball St.,3,13,6,1,4,11,.846
-,Texas St.,3,13,4,2,5,11,.846
-,Ole Miss,3,13,6,1,4,11,.846
82,Utah,3,7,1,2,3,6,.857
-,Stanford,3,7,2,3,1,6,.857
-,Arizona St.,3,14,2,7,3,12,.857
-,Georgia,3,7,2,2,2,6,.857
86,San Jose St.,4,22,11,4,4,19,.864
87,Louisiana,3,16,9,4,1,14,.875
-,Tulane,3,8,5,2,0,7,.875
-,LSU,3,8,3,1,3,7,.875
-,Oregon,3,8,5,1,1,7,.875
-,Bowling Green,3,16,10,4,0,14,.875
92,Oregon St.,4,26,10,8,5,23,.885
93,Rutgers,3,9,0,3,5,8,.889
-,Tennessee,3,9,6,1,1,8,.889
-,Washington St.,3,9,3,2,3,8,.889
-,Wyoming,3,9,6,2,0,8,.889
97,New Mexico St.,3,10,4,3,2,9,.900
-,Missouri,3,10,5,3,1,9,.900
-,Indiana,2,10,4,2,3,9,.900
-,Toledo,3,10,7,1,1,9,.900
-,Louisville,3,10,3,5,1,9,.900
-,Old Dominion,3,10,7,0,2,9,.900
103,Notre Dame,3,11,1,4,5,10,.909
104,Kent St.,3,12,7,3,1,11,.917
-,Idaho,3,12,4,1,6,11,.917
106,Tulsa,3,14,7,3,3,13,.929
-,Charlotte,3,14,9,1,3,13,.929
108,Rice,3,15,7,5,2,14,.933
