Rank,Team,G,RZAtt,RZ Rush TD,RZ Pass TD,RZ FG Made,RZScores,Pct
1,UTSA,3,11,4,4,3,11,1.000
-,Purdue,4,15,3,8,4,15,1.000
-,UTEP,4,5,4,1,0,5,1.000
-,Oregon St.,4,9,5,3,1,9,1.000
-,Notre Dame,4,19,14,3,2,19,1.000
-,New Mexico St.,4,10,2,7,1,10,1.000
-,Tulane,4,8,6,1,1,8,1.000
-,Wyoming,4,6,3,0,3,6,1.000
-,SMU,4,14,7,2,5,14,1.000
-,Louisiana,4,22,13,7,2,22,1.000
-,Wake Forest,4,18,5,5,8,18,1.000
-,Stanford,4,19,7,7,5,19,1.000
-,Georgia,4,13,7,3,3,13,1.000
-,FIU,3,5,2,1,2,5,1.000
-,Florida,3,4,1,2,1,4,1.000
-,Boston College,4,10,1,4,5,10,1.000
-,Arizona St.,4,14,8,4,2,14,1.000
18,Syracuse,4,20,7,4,8,19,.950
19,Oklahoma,4,18,9,7,1,17,.944
-,Ohio,4,18,10,6,1,17,.944
21,Kansas,4,17,6,5,5,16,.941
22,Arizona,4,16,11,2,2,15,.938
23,Rutgers,4,15,7,3,4,14,.933
24,Iowa St.,3,14,6,5,2,13,.929
-,La.-Monroe,3,14,9,3,1,13,.929
-,Army West Point,4,14,12,0,1,13,.929
-,Western Mich.,4,14,6,4,3,13,.929
-,Clemson,4,14,11,1,1,13,.929
29,Northwestern,3,13,8,3,1,12,.923
-,Memphis,3,13,3,5,4,12,.923
-,South Ala.,4,13,5,1,6,12,.923
-,Michigan,4,13,3,1,8,12,.923
-,Miami (FL),2,13,4,5,3,12,.923
34,UNLV,3,12,6,0,5,11,.917
-,Toledo,4,24,6,5,11,22,.917
36,Air Force,3,11,8,1,1,10,.909
-,West Virginia,4,22,10,8,2,20,.909
38,Washington St.,4,21,2,13,4,19,.905
39,Washington,4,20,8,7,3,18,.900
-,Temple,4,10,1,4,4,9,.900
-,Colorado St.,4,20,6,7,5,18,.900
-,UCLA,4,20,7,8,3,18,.900
43,TCU,4,19,8,6,3,17,.895
-,Alabama,4,19,10,1,6,17,.895
-,Oklahoma St.,4,19,8,4,5,17,.895
46,Oregon,4,28,19,6,0,25,.893
47,UAB,4,18,10,4,2,16,.889
-,Illinois,3,9,4,1,3,8,.889
-,Penn St.,4,18,6,7,3,16,.889
-,Tulsa,4,18,13,0,3,16,.889
51,Utah,4,26,7,5,11,23,.885
52,North Carolina,4,17,10,3,2,15,.882
-,Auburn,4,17,9,2,4,15,.882
-,Nebraska,4,17,7,4,4,15,.882
55,Georgia Tech,3,15,10,2,1,13,.867
-,Utah St.,4,15,3,4,6,13,.867
57,Virginia Tech,4,22,8,5,6,19,.864
58,UCF,2,14,7,3,2,12,.857
-,Texas A&M;,4,21,8,3,7,18,.857
-,San Diego St.,4,14,5,3,4,12,.857
