Rank,Team,G,Opp Rush,Opp Rush Yds,Yds/Rush,Opp Rush TDs,YPG
1,LSU,2,41,63,1.54,1,31.5
2,Louisville,2,44,68,1.55,1,34.0
3,Michigan,2,57,79,1.39,1,39.5
4,Duke,2,52,86,1.65,2,43.0
5,Alabama,2,49,97,1.98,0,48.5
6,San Diego St.,2,58,101,1.74,1,50.5
7,Vanderbilt,2,58,108,1.86,0,54.0
8,Air Force,1,28,55,1.96,0,55.0
9,Kentucky,2,58,117,2.02,1,58.5
10,Utah,2,52,118,2.27,1,59.0
11,Ohio St.,2,64,121,1.89,1,60.5
12,Minnesota,2,48,131,2.73,1,65.5
13,NC State,2,46,132,2.87,1,66.0
14,Texas A&M;,2,56,137,2.45,2,68.5
15,Southern Miss.,2,61,140,2.30,1,70.0
16,SMU,2,62,144,2.32,2,72.0
17,Syracuse,2,63,148,2.35,1,74.0
18,Texas St.,2,81,150,1.85,3,75.0
19,TCU,2,73,153,2.10,0,76.5
20,New Mexico,3,79,234,2.96,2,78.0
21,Clemson,2,86,157,1.83,0,78.5
22,Texas Tech,1,36,81,2.25,0,81.0
-,Washington,2,75,162,2.16,0,81.0
24,Auburn,2,83,166,2.00,2,83.0
25,Mississippi St.,2,89,170,1.91,1,85.0
26,UConn,1,26,89,3.42,1,89.0
27,South Fla.,3,89,268,3.01,3,89.3
28,Iowa,2,56,179,3.20,1,89.5
29,Michigan St.,2,60,183,3.05,0,91.5
30,Army West Point,2,57,185,3.25,2,92.5
-,North Texas,2,67,185,2.76,2,92.5
32,Wisconsin,2,62,191,3.08,2,95.5
-,Georgia,2,69,191,2.77,2,95.5
34,Old Dominion,2,77,194,2.52,2,97.0
35,Maryland,2,67,197,2.94,1,98.5
-,Middle Tenn.,2,84,197,2.35,3,98.5
37,Boise St.,3,107,296,2.77,2,98.7
38,Rutgers,2,59,198,3.36,0,99.0
39,UAB,2,77,205,2.66,4,102.5
40,Kansas,2,69,206,2.99,1,103.0
41,Oregon,2,67,208,3.10,4,104.0
-,Northern Ill.,2,95,208,2.19,1,104.0
43,Western Ky.,2,72,218,3.03,1,109.0
44,Miami (OH),2,62,219,3.53,1,109.5
45,FIU,2,70,226,3.23,4,113.0
46,Penn St.,2,79,228,2.89,1,114.0
47,Navy,2,70,231,3.30,2,115.5
48,Troy,2,76,232,3.05,1,116.0
49,Toledo,2,64,237,3.70,3,118.5
50,Colorado St.,3,93,357,3.84,2,119.0
51,Arizona,3,93,360,3.87,5,120.0
-,Oklahoma,2,55,240,4.36,2,120.0
53,Miami (FL),1,30,121,4.03,1,121.0
54,Colorado,2,80,244,3.05,0,122.0
55,Pittsburgh,2,50,255,5.10,2,127.5
-,Central Mich.,2,65,255,3.92,3,127.5
-,New Mexico St.,2,77,255,3.31,3,127.5
58,Georgia Tech,2,60,264,4.40,4,132.0
59,South Ala.,2,66,265,4.02,2,132.5
60,South Carolina,2,72,267,3.71,2,133.5
61,UCF,1,26,134,5.15,1,134.0
62,Notre Dame,2,80,270,3.38,1,135.0
63,Tulane,2,74,271,3.66,4,135.5
64,UTSA,1,31,137,4.42,0,137.0
65,Marshall,2,75,275,3.67,3,137.5
-,Fresno St.,2,66,275,4.17,3,137.5
-,Arkansas,2,73,275,3.77,4,137.5
68,Virginia,2,82,279,3.40,2,139.5
