Rank,Team,G,TDs,PAT,2PT,Def Pts,FG,Saf,Pts,PPG
1,Air Force,1,9,8,0,0,0,0,62,62.0
2,UCF,1,8,6,1,0,1,1,61,61.0
3,Oregon,2,17,17,0,0,0,0,119,59.5
4,Maryland,2,16,15,0,0,1,0,114,57.0
5,SMU,2,15,14,0,0,2,1,112,56.0
-,Texas Tech,1,8,8,0,0,0,0,56,56.0
7,Kansas St.,2,14,14,0,0,4,0,110,55.0
8,Mississippi St.,2,14,12,0,0,2,2,106,53.0
9,Oklahoma St.,2,13,13,0,0,4,0,103,51.5
10,UCLA,2,14,14,0,0,1,0,101,50.5
-,Duke,2,13,12,0,0,3,1,101,50.5
12,Texas,2,14,13,0,0,0,0,97,48.5
13,Arizona,3,19,18,0,0,3,0,141,47.0
14,Louisiana,2,13,10,0,1,1,0,93,46.5
-,Washington,2,12,12,0,0,3,0,93,46.5
16,Ole Miss,2,12,11,0,0,3,0,92,46.0
17,TCU,2,13,13,0,0,0,0,91,45.5
-,Southern California,2,13,13,0,0,0,0,91,45.5
-,North Texas,2,12,11,1,0,2,0,91,45.5
20,Tulsa,2,12,12,0,0,2,0,90,45.0
-,Wisconsin,2,12,12,0,0,2,0,90,45.0
22,Oklahoma,2,12,12,0,0,1,0,87,43.5
23,Stanford,2,11,11,0,0,3,0,86,43.0
24,Army West Point,2,12,10,0,0,1,0,85,42.5
-,Missouri,2,11,10,0,0,3,0,85,42.5
-,Wake Forest,2,11,10,0,0,3,0,85,42.5
-,Penn St.,2,11,11,0,0,2,1,85,42.5
28,UNLV,2,9,9,0,0,7,0,84,42.0
-,Tennessee,2,12,12,0,0,0,0,84,42.0
-,Toledo,2,9,9,0,0,7,0,84,42.0
31,Iowa St.,2,11,11,0,0,2,0,83,41.5
32,Louisville,2,10,7,0,0,5,0,82,41.0
-,Miami (FL),1,5,5,0,0,2,0,41,41.0
34,South Fla.,3,16,15,0,0,3,0,120,40.0
-,West Virginia,2,11,11,0,0,1,0,80,40.0
-,Ohio,2,11,9,0,0,1,1,80,40.0
37,Nebraska,2,10,10,0,0,2,1,78,39.0
-,Georgia Tech,2,11,9,0,0,1,0,78,39.0
-,Washington St.,2,10,9,0,0,3,0,78,39.0
40,Fresno St.,2,9,9,0,0,3,2,76,38.0
41,Central Mich.,2,9,7,1,0,4,0,75,37.5
42,Memphis,1,5,4,0,0,1,0,37,37.0
43,Louisiana Tech,2,9,8,0,1,3,0,73,36.5
-,Syracuse,2,8,7,0,0,6,0,73,36.5
45,LSU,2,9,9,0,0,3,0,72,36.0
-,Ball St.,2,10,9,0,0,1,0,72,36.0
-,Arkansas St.,1,4,4,0,0,2,1,36,36.0
