Rank,Team,G,Opp STFL,Opp ATFL,Opp TFL,Opp Tackle Yds,Avg
1,Memphis,1,2,0,2,7,2.00
-,Army West Point,2,3,2,4,5,2.00
-,Arkansas St.,1,2,0,2,6,2.00
-,Missouri,2,4,0,4,15,2.00
-,Minnesota,2,3,2,4,5,2.00
-,Miami (FL),1,2,0,2,4,2.00
-,Air Force,1,2,0,2,16,2.00
8,UNLV,2,5,0,5,21,2.50
-,Southern California,2,5,0,5,31,2.50
10,BYU,3,7,2,8,53,2.67
11,TCU,2,3,6,6,14,3.00
-,Oregon,2,5,2,6,29,3.00
-,Ole Miss,2,6,0,6,25,3.00
-,Maryland,2,6,0,6,19,3.00
-,Nevada,2,5,2,6,22,3.00
16,Iowa St.,2,4,6,7,18,3.50
-,Washington,2,5,4,7,31,3.50
-,Kansas St.,2,7,0,7,19,3.50
-,Old Dominion,2,3,8,7,37,3.50
20,Colorado St.,3,11,0,11,43,3.67
21,Toledo,2,5,6,8,19,4.00
-,Alabama,2,5,6,8,41,4.00
-,Stanford,2,6,4,8,43,4.00
-,Louisiana,2,7,2,8,45,4.00
-,Oregon St.,3,6,12,12,32,4.00
-,Tennessee,2,5,6,8,25,4.00
-,Fresno St.,2,7,2,8,21,4.00
-,Georgia Tech,2,7,2,8,26,4.00
-,Houston,1,4,0,4,11,4.00
-,Kent St.,2,6,4,8,18,4.00
-,Louisville,2,5,6,8,19,4.00
-,LSU,2,6,4,8,46,4.00
-,East Carolina,2,4,8,8,19,4.00
-,Eastern Mich.,2,5,6,8,22,4.00
-,Wisconsin,2,7,2,8,27,4.00
-,Vanderbilt,2,6,4,8,16,4.00
37,Arizona,3,11,4,13,40,4.33
38,FIU,2,8,2,9,47,4.50
-,Buffalo,2,7,4,9,36,4.50
-,Ohio St.,2,7,4,9,29,4.50
-,Marshall,2,5,8,9,40,4.50
-,Mississippi St.,2,7,4,9,13,4.50
-,Northern Ill.,2,7,4,9,22,4.50
-,Cincinnati,2,6,6,9,32,4.50
-,Louisiana Tech,2,8,2,9,36,4.50
46,Tulane,2,7,6,10,36,5.00
-,Ball St.,2,6,8,10,34,5.00
-,Virginia Tech,2,7,6,10,18,5.00
-,West Virginia,2,9,2,10,31,5.00
-,Washington St.,2,9,2,10,76,5.00
-,North Carolina,2,6,8,10,45,5.00
-,Charlotte,2,5,10,10,34,5.00
-,Ohio,2,7,6,10,25,5.00
-,Purdue,2,6,8,10,33,5.00
-,Texas,2,9,2,10,39,5.00
56,Nebraska,2,8,5,11,36,5.25
57,New Mexico,3,13,6,16,65,5.33
