Rank,Team,G,Pass Att,Pass Com,Int,Pass Yds,Pass TD,Pass Eff
1,Texas Tech,1,35,31,0,449,4,234.05
2,Air Force,1,14,10,0,190,2,232.57
3,Georgia Tech,2,17,10,0,232,3,231.69
4,UCF,1,33,26,1,439,4,224.47
5,Oklahoma,2,71,59,0,882,7,219.98
6,Kansas St.,2,39,27,0,522,4,215.51
7,Ole Miss,2,78,60,1,918,9,211.30
8,Maryland,2,33,26,1,386,4,210.98
9,Oregon,2,60,48,1,720,4,199.47
10,Vanderbilt,2,54,39,0,523,7,196.36
11,UCLA,2,88,59,0,864,9,183.27
12,Wake Forest,2,46,33,1,390,6,181.65
13,Missouri,2,66,35,3,766,8,181.43
14,Oklahoma St.,2,67,47,0,650,6,181.19
15,Tulane,2,28,18,0,256,3,176.44
16,Appalachian St.,2,54,37,0,493,5,175.76
17,Iowa,2,56,35,1,458,8,174.77
18,Washington,2,58,41,1,577,4,173.57
19,Arizona St.,2,63,44,0,619,4,173.33
20,UTSA,1,20,15,0,155,2,173.10
21,LSU,2,36,24,0,415,1,172.67
22,SMU,2,64,34,1,616,8,172.10
23,Southern California,2,59,44,4,605,4,169.53
24,North Texas,2,71,49,2,656,6,168.88
25,Georgia St.,1,23,18,1,224,1,165.72
26,West Virginia,2,88,55,1,774,8,164.11
27,UNLV,2,37,21,1,413,2,162.95
28,TCU,2,61,44,2,466,6,162.20
29,Louisville,2,85,55,0,771,5,160.31
30,Minnesota,2,40,26,1,397,2,159.87
31,NC State,2,100,74,0,756,5,154.00
32,Kentucky,2,44,27,0,405,2,153.68
33,Miami (FL),1,31,18,0,233,3,153.14
34,Wisconsin,2,53,32,1,451,4,152.99
35,California,2,66,44,2,563,4,152.26
36,Mississippi St.,2,56,33,1,406,6,151.61
37,Penn St.,2,59,36,2,486,5,151.40
38,Stanford,2,65,36,0,541,5,150.68
39,Duke,2,79,55,1,586,5,150.28
40,Fresno St.,2,78,49,1,630,5,149.26
41,Washington St.,2,115,89,2,794,6,149.13
42,Central Mich.,2,91,56,1,720,6,147.56
43,South Fla.,3,90,49,2,723,8,146.81
44,Purdue,2,81,49,3,588,8,146.66
45,San Diego St.,2,41,26,1,310,3,146.20
46,Iowa St.,2,82,52,2,618,6,145.99
47,Southern Miss.,2,72,42,0,589,4,145.38
48,Toledo,2,61,38,1,546,2,145.02
49,Boise St.,3,79,53,2,584,5,145.01
50,Idaho,2,53,36,3,424,3,142.48
51,Alabama,2,45,30,0,288,3,142.43
52,Massachusetts,4,155,94,1,1290,6,142.04
53,Utah,2,69,51,1,541,1,141.66
54,Michigan St.,2,57,35,1,411,4,141.62
55,Colorado,2,65,44,2,541,2,141.61
56,Virginia Tech,2,56,31,0,457,3,141.59
57,Ohio,2,48,30,1,395,2,141.21
58,South Carolina,2,57,35,1,402,4,140.29
59,Hawaii,3,101,61,4,779,7,140.13
60,North Carolina,2,82,54,2,605,4,139.05
61,Clemson,2,66,45,1,497,2,138.41
62,Fla. Atlantic,2,52,30,2,428,3,138.18
63,Louisiana,2,57,33,2,471,3,137.66
64,New Mexico St.,2,115,74,3,799,7,137.58
65,Arizona,3,74,49,1,483,4,136.18
66,Navy,2,22,7,2,242,2,136.04
67,Marshall,2,73,46,2,558,3,135.30
68,Houston,1,32,25,2,225,1,135.00
69,Temple,3,108,63,0,787,5,134.82
70,Colorado St.,3,126,75,4,980,6,134.22
71,Tennessee,2,67,37,1,456,5,134.04
72,UAB,2,46,27,0,333,2,133.85
73,Utah St.,2,73,52,4,560,2,133.75
74,UConn,1,41,28,0,278,1,133.30
75,La.-Monroe,1,37,21,1,279,2,132.53
76,FIU,2,64,39,1,529,1,132.40
77,Arkansas,2,45,25,1,317,3,132.28
78,Texas,2,82,50,1,592,3,131.25
79,Michigan,2,55,29,2,439,3,130.50
80,New Mexico,3,72,40,3,555,4,130.31
81,Miami (OH),2,66,34,1,443,5,129.87
82,Syracuse,2,96,64,1,613,3,128.53
83,Middle Tenn.,2,67,40,2,435,4,127.97
84,Arkansas St.,1,68,46,2,415,3,127.59
85,Eastern Mich.,2,68,41,1,527,1,127.31
86,Tulsa,2,58,34,0,431,1,126.73
87,Ball St.,2,69,44,1,421,3,126.47
88,Northwestern,2,71,42,3,521,3,126.29
89,Indiana,2,98,61,3,617,5,125.84
