Rank,Team,G,Opp Pass,Opp Cpl,Opp Int,Opp Pass Yds,Opp Pass TDs,Pass Eff
1,UTSA,3,80,30,4,363,2,73.87
2,South Fla.,4,149,69,12,791,4,83.65
3,Southern Miss.,3,73,32,2,366,1,84.99
4,Vanderbilt,4,107,53,5,467,3,86.10
5,Michigan,4,105,43,3,536,3,87.55
6,Michigan St.,3,78,36,2,397,1,88.01
7,Buffalo,4,92,44,2,462,1,89.25
8,Northern Ill.,3,121,65,6,617,2,92.09
9,Eastern Mich.,3,98,48,5,509,3,92.51
10,Penn St.,4,124,69,6,634,2,94.24
11,Wake Forest,4,139,61,5,801,4,94.59
12,Clemson,4,103,50,3,538,3,96.21
13,Utah,4,147,76,9,838,4,96.32
14,Minnesota,3,113,64,3,540,2,97.31
15,Wisconsin,3,80,45,5,472,1,97.44
16,Boston College,4,111,57,4,590,3,97.71
17,Alabama,4,134,73,6,711,4,99.94
18,Georgia,4,140,82,2,688,2,101.71
19,Washington St.,4,107,62,5,569,3,102.52
20,Oregon,4,153,78,7,931,5,103.73
21,Southern California,4,143,70,7,867,6,103.94
22,Ole Miss,3,96,53,3,555,2,104.40
23,Duke,4,117,54,7,785,5,104.65
24,Washington,4,132,86,8,695,3,104.76
25,Miami (OH),4,130,75,6,768,3,105.70
26,Virginia Tech,4,127,58,4,813,5,106.14
27,Rutgers,4,116,57,5,718,5,106.73
28,Idaho,4,98,52,2,606,2,107.66
29,Auburn,4,111,67,2,555,3,107.68
30,Colorado,4,123,63,5,798,4,108.32
31,LSU,4,134,76,4,764,4,108.49
32,Kansas St.,3,83,51,3,461,2,108.82
33,Arkansas,3,87,49,2,477,3,109.16
34,Houston,3,107,62,3,653,2,109.77
35,UCF,2,59,35,3,356,2,111.02
36,Appalachian St.,4,100,53,3,620,4,112.28
37,Mississippi St.,4,79,38,1,516,3,112.97
38,UAB,4,116,60,4,716,6,113.74
39,New Mexico St.,4,142,79,7,953,5,113.77
40,Oklahoma St.,4,130,76,4,838,3,114.07
41,Western Ky.,4,148,83,4,1000,3,114.12
42,Northwestern,3,126,72,2,760,4,115.11
43,Central Mich.,4,156,83,9,1103,7,115.87
44,Ball St.,4,122,72,5,871,2,116.20
45,Fla. Atlantic,4,89,47,3,627,3,116.37
46,Arizona,4,149,87,5,1032,3,116.50
47,Georgia Tech,3,86,50,2,492,4,116.89
48,Iowa,4,163,97,5,998,6,116.95
49,Air Force,3,58,34,1,389,1,117.20
50,La.-Monroe,3,100,51,2,642,5,117.43
51,Notre Dame,4,158,91,4,946,7,117.45
52,TCU,4,117,56,6,916,5,117.47
53,Troy,4,145,86,3,889,5,118.05
54,Oklahoma,4,124,74,2,794,4,120.88
55,West Virginia,4,124,65,5,900,6,121.29
56,New Mexico,4,158,97,4,943,8,123.17
57,Indiana,3,117,66,0,696,6,123.30
58,Miami (FL),2,89,54,1,573,3,123.63
59,Colorado St.,4,142,87,7,1025,5,123.66
60,Maryland,3,119,73,3,763,5,124.03
61,Virginia,4,122,72,4,849,5,124.44
62,California,4,171,102,6,1238,6,125.02
63,Florida,3,92,51,5,697,5,126.14
64,Syracuse,4,132,71,4,922,8,126.40
65,South Carolina,4,155,98,4,1110,4,126.74
66,Boise St.,4,146,93,4,924,7,127.20
67,Illinois,3,109,66,3,746,5,127.67
