Rank,Team,G,Sacks,Sack Yds,Avg
1,Clemson,3,16,95,5.33
-,Old Dominion,3,16,101,5.33
3,Temple,3,14,92,4.67
4,Maryland,2,9,42,4.50
-,UTSA,2,9,49,4.50
6,Arizona St.,3,13,73,4.33
-,Michigan,3,13,85,4.33
-,Hawaii,3,13,71,4.33
9,Duke,3,11,80,3.67
-,Penn St.,3,11,67,3.67
-,Marshall,3,11,49,3.67
-,Ball St.,3,11,91,3.67
13,San Diego St.,3,10,71,3.33
-,SMU,3,10,58,3.33
-,Boise St.,3,10,81,3.33
-,Texas St.,3,10,75,3.33
-,Washington St.,3,10,52,3.33
-,Vanderbilt,3,10,65,3.33
-,Louisville,3,10,75,3.33
-,Auburn,3,10,64,3.33
21,UCLA,3,9,58,3.00
-,Colorado,3,9,51,3.00
-,Stanford,3,9,48,3.00
-,Baylor,3,9,54,3.00
-,California,3,9,53,3.00
-,New Mexico St.,3,9,45,3.00
-,LSU,3,9,60,3.00
-,Florida,2,6,28,3.00
-,Utah,3,9,77,3.00
-,Ohio,3,9,46,3.00
-,Oregon,3,9,56,3.00
32,Southern California,3,8,45,2.67
-,South Fla.,3,8,43,2.67
-,Rice,3,8,71,2.67
-,Northern Ill.,3,8,51,2.67
-,Missouri,3,8,58,2.67
-,Middle Tenn.,3,8,59,2.67
-,Western Mich.,3,8,63,2.67
-,Virginia Tech,3,8,62,2.67
-,Virginia,3,8,55,2.67
-,Iowa St.,3,8,45,2.67
-,Illinois,3,8,50,2.67
-,Appalachian St.,3,8,51,2.67
-,Wisconsin,3,8,49,2.67
-,Tulane,3,8,58,2.67
-,TCU,3,8,52,2.67
47,Georgia Tech,2,5,33,2.50
-,Arkansas St.,2,5,32,2.50
-,Ga. Southern,2,5,22,2.50
-,Michigan St.,2,5,37,2.50
51,Army West Point,3,7,50,2.33
-,Georgia,3,7,59,2.33
-,Idaho,3,7,46,2.33
-,Washington,3,7,52,2.33
-,Wyoming,3,7,37,2.33
-,Louisiana Tech,3,7,39,2.33
-,Mississippi St.,3,7,40,2.33
-,Ohio St.,3,7,42,2.33
-,Oklahoma,3,7,48,2.33
-,Oklahoma St.,3,7,58,2.33
-,Texas A&M;,3,7,42,2.33
-,Troy,3,7,43,2.33
63,Wake Forest,3,6,34,2.00
-,Utah St.,3,6,33,2.00
-,Houston,2,4,14,2.00
-,NC State,3,6,40,2.00
-,North Texas,3,6,41,2.00
-,La.-Monroe,2,4,26,2.00
-,Florida St.,1,2,8,2.00
-,Notre Dame,3,6,34,2.00
-,South Carolina,3,6,44,2.00
-,Arkansas,2,4,25,2.00
-,Texas Tech,2,4,45,2.00
74,Massachusetts,4,7,41,1.75
-,Colorado St.,4,7,51,1.75
76,Kansas St.,3,5,30,1.67
-,Iowa,3,5,45,1.67
-,South Ala.,3,5,34,1.67
-,Southern Miss.,3,5,33,1.67
-,North Carolina,3,5,25,1.67
-,Kentucky,3,5,38,1.67
-,Alabama,3,5,29,1.67
-,Akron,3,5,39,1.67
-,Minnesota,3,5,18,1.67
-,Texas,3,5,43,1.67
-,Cincinnati,3,5,37,1.67
-,Bowling Green,3,5,27,1.67
88,Eastern Mich.,2,3,19,1.50
-,UConn,2,3,19,1.50
-,Air Force,2,3,27,1.50
-,Navy,2,3,23,1.50
-,Memphis,2,3,33,1.50
93,Northwestern,3,4,20,1.33
-,Toledo,3,4,15,1.33
-,West Virginia,3,4,32,1.33
-,UAB,3,4,24,1.33
-,Arizona,3,4,34,1.33
-,UTEP,3,4,26,1.33
-,Boston College,3,4,23,1.33
-,Fla. Atlantic,3,4,26,1.33
-,Fresno St.,3,4,34,1.33
-,Charlotte,3,4,23,1.33
-,New Mexico,3,4,36,1.33
-,Tulsa,3,4,23,1.33
105,Tennessee,3,3,34,1.00
-,Miami (FL),1,1,6,1.00
-,UCF,1,1,7,1.00
-,Pittsburgh,3,3,21,1.00
-,BYU,4,4,29,1.00
-,Georgia St.,2,2,13,1.00
-,Central Mich.,3,3,27,1.00
-,Indiana,2,2,18,1.00
-,Nebraska,3,3,19,1.00
-,San Jose St.,4,4,24,1.00
-,Nevada,3,3,20,1.00
-,Rutgers,3,3,17,1.00
-,Ole Miss,3,3,29,1.00
-,East Carolina,3,3,25,1.00
-,Miami (OH),3,3,21,1.00
-,Western Ky.,3,3,18,1.00
121,Oregon St.,4,3,16,.75
122,Kansas,3,2,16,.67
-,Kent St.,3,2,7,.67
-,Syracuse,3,2,5,.67
-,Buffalo,3,2,18,.67
-,Louisiana,3,2,23,.67
127,FIU,2,1,8,.50
-,UNLV,2,1,10,.50
129,Purdue,3,1,7,.33
