Rank,Team,G,STFL,ATFL,Tackle Yds,TTFL,TFLPG
1,Penn St.,3,20,28,125,34,11.3
2,Virginia Tech,3,18,20,101,28,9.3
-,Baylor,3,22,12,102,28,9.3
-,Vanderbilt,3,19,18,109,28,9.3
-,Old Dominion,3,19,18,125,28,9.3
-,Ball St.,3,24,8,140,28,9.3
7,Michigan,3,18,18,118,27,9.0
-,Hawaii,3,22,10,103,27,9.0
-,Auburn,3,22,10,109,27,9.0
10,UAB,3,20,12,80,26,8.7
-,Wake Forest,3,23,6,70,26,8.7
-,Clemson,3,18,16,114,26,8.7
-,Northern Ill.,3,24,4,102,26,8.7
-,Iowa St.,3,18,16,84,26,8.7
15,Memphis,2,15,4,63,17,8.5
-,Maryland,2,13,8,58,17,8.5
17,Kansas,3,16,18,61,25,8.3
-,Troy,3,18,14,83,25,8.3
-,Appalachian St.,3,18,14,92,25,8.3
-,Marshall,3,18,14,83,25,8.3
-,Temple,3,23,4,121,25,8.3
22,Missouri,3,21,6,96,24,8.0
-,TCU,3,19,10,98,24,8.0
-,Duke,3,20,8,123,24,8.0
-,SMU,3,22,4,85,24,8.0
-,Wyoming,3,22,4,77,24,8.0
-,Washington St.,3,16,16,80,24,8.0
-,UTSA,2,11,10,63,16,8.0
-,Florida,2,13,6,45,16,8.0
30,Boise St.,3,21,4,121,23,7.7
-,Ohio St.,3,22,2,75,23,7.7
-,Fresno St.,3,19,8,89,23,7.7
33,Houston,2,14,2,39,15,7.5
-,Ga. Southern,2,14,2,43,15,7.5
-,FIU,2,13,4,47,15,7.5
-,Air Force,2,13,4,50,15,7.5
37,Ohio,3,15,14,82,22,7.3
-,Nevada,3,17,10,57,22,7.3
-,Ole Miss,3,19,6,81,22,7.3
-,Wisconsin,3,21,2,98,22,7.3
-,Notre Dame,3,15,14,68,22,7.3
-,Georgia,3,20,4,87,22,7.3
-,Arizona St.,3,20,4,92,22,7.3
-,UCLA,3,21,2,95,22,7.3
-,Washington,3,18,8,80,22,7.3
46,Akron,3,16,10,89,21,7.0
-,Cincinnati,3,15,12,92,21,7.0
-,West Virginia,3,18,6,69,21,7.0
-,North Carolina,3,11,20,62,21,7.0
-,New Mexico St.,3,18,6,88,21,7.0
-,Northwestern,3,18,6,59,21,7.0
-,Oklahoma St.,3,20,2,99,21,7.0
-,San Diego St.,3,18,6,108,21,7.0
-,South Fla.,3,18,6,73,21,7.0
-,Syracuse,3,15,12,54,21,7.0
-,Miami (FL),1,6,2,18,7,7.0
57,Arkansas St.,2,11,5,59,14,6.8
58,Mississippi St.,3,16,8,73,20,6.7
-,Texas A&M;,3,19,2,81,20,6.7
-,Texas St.,3,19,2,95,20,6.7
-,Tulane,3,17,6,88,20,6.7
62,Navy,2,10,6,70,13,6.5
63,Middle Tenn.,3,14,10,82,19,6.3
-,Southern California,3,15,8,77,19,6.3
-,Virginia,3,15,8,71,19,6.3
-,NC State,3,12,14,73,19,6.3
-,Bowling Green,3,16,6,59,19,6.3
-,Colorado,3,19,0,81,19,6.3
-,Oregon,3,16,6,75,19,6.3
70,San Jose St.,4,21,6,75,24,6.0
-,Louisville,3,14,8,97,18,6.0
-,Alabama,3,14,8,59,18,6.0
-,UNLV,2,10,4,37,12,6.0
-,Eastern Mich.,2,8,8,38,12,6.0
75,Colorado St.,4,14,18,77,23,5.8
76,California,3,14,6,80,17,5.7
-,North Texas,3,13,8,66,17,5.7
-,Stanford,3,17,0,72,17,5.7
-,South Carolina,3,11,12,72,17,5.7
-,Rice,3,12,10,85,17,5.7
-,Oklahoma,3,13,8,68,17,5.7
-,New Mexico,3,15,4,67,17,5.7
-,Minnesota,3,16,2,50,17,5.7
-,Louisiana Tech,3,17,0,65,17,5.7
-,Western Mich.,3,15,4,94,17,5.7
-,Western Ky.,3,11,12,38,17,5.7
