Rank,Team,G,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
1,Michigan,4,231,813,3.52,4,6,203.3
2,UTSA,3,176,621,3.53,4,5,207.0
3,Clemson,4,250,908,3.63,4,4,227.0
4,Auburn,4,260,945,3.63,5,6,236.3
5,Minnesota,3,176,717,4.07,3,3,239.0
6,Southern Miss.,3,171,724,4.23,4,5,241.3
7,Alabama,4,239,992,4.15,5,5,248.0
-,Wisconsin,3,168,744,4.43,3,3,248.0
9,Michigan St.,3,178,762,4.28,4,8,254.0
10,Mississippi St.,4,239,1022,4.28,7,7,255.5
11,Duke,4,229,1046,4.57,8,8,261.5
12,Washington St.,4,240,1049,4.37,8,9,262.3
13,South Fla.,4,271,1055,3.89,7,9,263.8
14,Georgia Tech,3,166,793,4.78,8,9,264.3
15,UCF,2,122,532,4.36,3,3,266.0
16,Georgia,4,269,1078,4.01,4,4,269.5
17,Penn St.,4,275,1094,3.98,4,4,273.5
18,Air Force,3,169,821,4.86,5,6,273.7
19,Washington,4,281,1096,3.90,4,5,274.0
20,Kansas St.,3,198,859,4.34,5,5,286.3
21,San Diego St.,4,224,1164,5.20,10,10,291.0
22,Utah,4,278,1186,4.27,7,7,296.5
23,LSU,4,250,1188,4.75,8,8,297.0
24,Rutgers,4,259,1193,4.61,6,7,298.3
25,Appalachian St.,4,254,1211,4.77,7,8,302.8
26,Northern Ill.,3,252,910,3.61,5,5,303.3
27,Miami (OH),4,265,1243,4.69,5,9,310.8
28,Virginia Tech,4,263,1245,4.73,5,5,311.3
29,Florida St.,2,130,634,4.88,5,5,317.0
30,Troy,4,273,1271,4.66,7,9,317.8
31,Vanderbilt,4,266,1272,4.78,10,10,318.0
32,TCU,4,251,1294,5.16,9,9,323.5
33,Middle Tenn.,4,285,1302,4.57,10,11,325.5
34,Eastern Mich.,3,210,979,4.66,4,5,326.3
35,Wake Forest,4,291,1314,4.52,5,5,328.5
36,Syracuse,4,267,1326,4.97,12,12,331.5
37,Oklahoma,4,276,1331,4.82,8,8,332.8
38,New Mexico,4,268,1332,4.97,11,11,333.0
39,Virginia,4,269,1365,5.07,10,11,341.3
40,Colorado,4,273,1367,5.01,7,8,341.8
41,Navy,3,185,1027,5.55,8,9,342.3
42,Buffalo,4,284,1382,4.87,10,10,345.5
43,Arkansas,3,202,1037,5.13,10,11,345.7
44,Boise St.,4,293,1387,4.73,12,15,346.8
45,Fresno St.,3,182,1042,5.73,11,12,347.3
46,Oregon,4,305,1398,4.58,13,13,349.5
47,NC State,4,249,1408,5.65,8,9,352.0
48,UAB,4,286,1435,5.02,14,15,358.8
-,Kentucky,4,261,1435,5.50,10,10,358.8
50,Idaho,4,273,1437,5.26,11,11,359.3
51,Ball St.,4,264,1446,5.48,11,12,361.5
52,Western Ky.,4,281,1447,5.15,8,9,361.8
53,Oklahoma St.,4,303,1464,4.83,10,12,366.0
54,Wyoming,4,288,1466,5.09,13,13,366.5
55,Ohio,4,279,1467,5.26,11,11,366.8
56,Ohio St.,4,294,1469,5.00,10,11,367.3
57,Nebraska,4,273,1470,5.38,11,15,367.5
58,FIU,3,205,1104,5.39,10,10,368.0
59,Ole Miss,3,217,1107,5.10,8,9,369.0
60,Southern California,4,285,1481,5.20,10,12,370.3
61,Western Mich.,4,248,1490,6.01,16,17,372.5
