Rank,Team,G,Plays,YDS,Yds/Play,Off TDs,YPG
1,Air Force,1,81,663,8.19,9,663.0
2,Oregon,2,156,1269,8.13,16,634.5
3,Texas Tech,1,75,626,8.35,7,626.0
4,Missouri,2,144,1238,8.60,11,619.0
5,Louisville,2,162,1229,7.59,9,614.5
6,West Virginia,2,170,1206,7.09,11,603.0
7,UCF,1,78,587,7.53,8,587.0
8,Oklahoma,2,146,1166,7.99,12,583.0
9,North Texas,2,158,1161,7.35,12,580.5
10,Oklahoma St.,2,141,1145,8.12,11,572.5
11,Southern California,2,141,1144,8.11,12,572.0
12,UNLV,2,133,1114,8.38,9,557.0
13,Miami (FL),1,65,550,8.46,5,550.0
14,Tulsa,2,190,1099,5.78,11,549.5
15,Texas,2,172,1096,6.37,10,548.0
16,Central Mich.,2,176,1089,6.19,9,544.5
17,Ole Miss,2,125,1074,8.59,11,537.0
18,Duke,2,185,1062,5.74,12,531.0
19,UCLA,2,139,1059,7.62,13,529.5
20,New Mexico St.,2,171,1049,6.13,9,524.5
21,South Fla.,3,279,1567,5.62,16,522.3
22,Wisconsin,2,152,1042,6.86,11,521.0
23,Colorado St.,3,240,1527,6.36,11,509.0
24,Maryland,2,112,1016,9.07,14,508.0
25,Mississippi St.,2,146,1014,6.95,12,507.0
26,Kansas St.,2,121,1012,8.36,11,506.0
27,Stanford,2,127,998,7.86,11,499.0
28,Arkansas St.,1,89,497,5.58,3,497.0
29,NC State,2,168,989,5.89,9,494.5
30,Hawaii,3,227,1471,6.48,13,490.3
31,Toledo,2,162,979,6.04,8,489.5
32,Arizona,3,225,1467,6.52,17,489.0
33,Georgia Tech,2,152,977,6.43,11,488.5
34,Washington St.,2,167,966,5.78,8,483.0
35,Louisiana,2,134,959,7.16,11,479.5
36,SMU,2,146,958,6.56,13,479.0
37,Clemson,2,145,946,6.52,10,473.0
-,Ohio St.,2,155,946,6.10,7,473.0
39,LSU,2,139,933,6.71,8,466.5
40,Utah,2,152,929,6.11,5,464.5
41,UAB,2,153,928,6.07,8,464.0
42,Michigan St.,2,152,922,6.07,8,461.0
43,Kansas,2,158,907,5.74,8,453.5
44,Appalachian St.,2,133,903,6.79,8,451.5
-,TCU,2,139,903,6.50,11,451.5
46,Purdue,2,146,902,6.18,9,451.0
47,Utah St.,2,149,900,6.04,6,450.0
-,California,2,135,900,6.67,9,450.0
49,Syracuse,2,186,894,4.81,8,447.0
50,Fresno St.,2,140,886,6.33,9,443.0
51,Penn St.,2,117,881,7.53,10,440.5
