Rank,Team,G,Opp Pass,Opp Int
1,South Fla.,4,149,12
2,Utah,4,147,9
-,Central Mich.,4,156,9
4,Washington,4,132,8
5,Duke,4,117,7
-,New Mexico St.,4,142,7
-,Colorado St.,4,142,7
-,Southern California,4,143,7
-,Oregon,4,153,7
10,TCU,4,117,6
-,Northern Ill.,3,121,6
-,Penn St.,4,124,6
-,Miami (OH),4,130,6
-,Alabama,4,134,6
-,California,4,171,6
16,Wisconsin,3,80,5
-,San Diego St.,4,84,5
-,Wyoming,4,92,5
-,Florida,3,92,5
-,Eastern Mich.,3,98,5
-,Washington St.,4,107,5
-,Vanderbilt,4,107,5
-,Rutgers,4,116,5
-,Ball St.,4,122,5
-,Iowa St.,3,123,5
-,Colorado,4,123,5
-,West Virginia,4,124,5
-,Kent St.,4,131,5
-,Wake Forest,4,139,5
-,Stanford,4,139,5
-,Arizona,4,149,5
-,Nebraska,4,153,5
-,Texas A&M;,4,155,5
-,Iowa,4,163,5
35,Tulane,4,74,4
-,UTSA,3,80,4
-,Texas,3,95,4
-,Western Mich.,4,96,4
-,Tulsa,4,107,4
-,Boston College,4,111,4
-,UAB,4,116,4
-,Virginia,4,122,4
-,Virginia Tech,4,127,4
-,Texas Tech,3,129,4
-,Oklahoma St.,4,130,4
-,Louisiana Tech,4,130,4
-,Ohio St.,4,131,4
-,Syracuse,4,132,4
-,Louisville,4,133,4
-,LSU,4,134,4
-,Memphis,3,142,4
-,Boise St.,4,146,4
-,Kentucky,4,147,4
-,Western Ky.,4,148,4
-,SMU,4,151,4
-,South Carolina,4,155,4
-,New Mexico,4,158,4
-,Notre Dame,4,158,4
59,UCF,2,59,3
-,Kansas St.,3,83,3
-,Fla. Atlantic,4,89,3
-,Arkansas St.,3,90,3
-,Ole Miss,3,96,3
-,Appalachian St.,4,100,3
-,Utah St.,4,103,3
-,Clemson,4,103,3
-,UNLV,3,104,3
-,Pittsburgh,4,104,3
-,Michigan,4,105,3
-,Toledo,4,107,3
-,Houston,3,107,3
-,Illinois,3,109,3
-,Minnesota,3,113,3
-,Maryland,3,119,3
-,NC State,4,130,3
-,Akron,4,131,3
-,UCLA,4,132,3
-,Oregon St.,4,133,3
-,Purdue,4,134,3
-,North Carolina,4,143,3
-,Troy,4,145,3
-,North Texas,4,145,3
-,San Jose St.,5,150,3
84,Southern Miss.,3,73,2
-,Michigan St.,3,78,2
-,Cincinnati,4,82,2
-,Georgia St.,3,83,2
-,Georgia Tech,3,86,2
-,Arkansas,3,87,2
-,Navy,3,92,2
-,Buffalo,4,92,2
-,FIU,3,94,2
-,Marshall,3,97,2
-,Idaho,4,98,2
-,La.-Monroe,3,100,2
-,Auburn,4,111,2
-,Louisiana,4,113,2
-,Missouri,4,118,2
-,Hawaii,4,123,2
-,Oklahoma,4,124,2
-,Northwestern,3,126,2
-,Old Dominion,4,126,2
-,East Carolina,4,130,2
-,Georgia,4,140,2
-,Kansas,4,141,2
-,Ohio,4,144,2
-,Nevada,4,153,2
-,Arizona St.,4,161,2
109,Air Force,3,58,1
-,Ga. Southern,3,70,1
-,Mississippi St.,4,79,1
-,Tennessee,4,79,1
-,Fresno St.,3,86,1
-,Miami (FL),2,89,1
-,BYU,4,110,1
-,Army West Point,4,116,1
-,Charlotte,4,117,1
-,UTEP,4,120,1
-,Middle Tenn.,4,125,1
-,Temple,4,130,1
-,Bowling Green,4,133,1
-,Baylor,4,134,1
-,UConn,3,135,1
-,Rice,4,136,1
-,South Ala.,4,143,1
-,Massachusetts,5,156,1
