Rank,Team,G,3rd Att,3rd Conv,Pct
1,TCU,4,57,36,.632
2,Wisconsin,3,38,22,.579
3,Washington St.,4,60,34,.567
4,Oklahoma St.,4,53,29,.547
5,Georgia Tech,3,44,24,.545
6,Colorado St.,4,59,32,.542
7,Michigan St.,3,49,26,.531
8,Tulsa,4,70,37,.529
9,Clemson,4,59,31,.525
10,Navy,3,40,21,.525
11,Ball St.,4,63,33,.524
12,Southern California,4,56,29,.518
13,Virginia,4,69,35,.507
14,New Mexico St.,4,68,34,.500
15,UAB,4,63,31,.492
16,Toledo,4,59,29,.492
17,Georgia St.,3,49,24,.490
18,Marshall,3,45,22,.489
19,Akron,4,63,30,.476
20,Auburn,4,66,31,.470
21,Texas,3,49,23,.469
22,Ohio,4,56,26,.464
23,UTSA,3,39,18,.462
24,La.-Monroe,3,50,23,.460
25,Ole Miss,3,37,17,.459
26,Oklahoma,4,35,16,.457
27,San Diego St.,4,55,25,.455
-,Buffalo,4,55,25,.455
29,NC State,4,53,24,.453
-,South Carolina,4,53,24,.453
31,Oregon St.,4,54,24,.444
-,Mississippi St.,4,54,24,.444
-,UCLA,4,54,24,.444
-,Duke,4,72,32,.444
35,Arizona,4,61,27,.443
36,Stanford,4,43,19,.442
37,Texas A&M;,4,68,30,.441
38,Virginia Tech,4,59,26,.441
39,Oregon,4,50,22,.440
40,FIU,3,41,18,.439
41,Hawaii,4,57,25,.439
-,Western Ky.,4,57,25,.439
-,Louisville,4,57,25,.439
-,Iowa,4,57,25,.439
45,Houston,3,48,21,.438
46,Army West Point,4,53,23,.434
-,Alabama,4,53,23,.434
48,SMU,4,60,26,.433
49,Arkansas,3,37,16,.432
50,Colorado,4,58,25,.431
51,Northwestern,3,40,17,.425
52,Tennessee,4,59,25,.424
53,Syracuse,4,78,33,.423
54,Air Force,3,38,16,.421
-,UConn,3,38,16,.421
56,Notre Dame,4,62,26,.419
57,Minnesota,3,43,18,.419
58,Washington,4,36,15,.417
-,LSU,4,48,20,.417
60,Arizona St.,4,65,27,.415
61,Ohio St.,4,53,22,.415
62,Louisiana Tech,4,58,24,.414
63,Miami (FL),2,17,7,.412
64,Wake Forest,4,61,25,.410
65,Appalachian St.,4,59,24,.407
-,West Virginia,4,59,24,.407
67,Arkansas St.,3,37,15,.405
-,Texas Tech,3,37,15,.405
69,Iowa St.,3,42,17,.405
70,Georgia,4,57,23,.404
71,Fresno St.,3,40,16,.400
72,Illinois,3,43,17,.395
73,Miami (OH),4,61,24,.393
74,Troy,4,56,22,.393
-,Western Mich.,4,56,22,.393
76,East Carolina,4,64,25,.391
77,Kansas,4,67,26,.388
-,Utah St.,4,67,26,.388
79,Memphis,3,39,15,.385
80,South Fla.,4,73,28,.384
81,Rutgers,4,60,23,.383
82,Kansas St.,3,34,13,.382
83,Missouri,4,50,19,.380
84,Massachusetts,5,74,28,.378
85,Louisiana,4,53,20,.377
86,Boise St.,4,60,22,.367
87,California,4,71,26,.366
88,Kentucky,4,52,19,.365
-,Vanderbilt,4,52,19,.365
90,Nevada,4,55,20,.364
91,Indiana,3,50,18,.360
92,Nebraska,4,64,23,.359
93,Cincinnati,4,62,22,.355
-,Michigan,4,62,22,.355
95,Penn St.,4,48,17,.354
96,Kent St.,4,61,21,.344
97,Florida,3,41,14,.341
98,BYU,4,50,17,.340
99,Temple,4,65,22,.338
100,UNLV,3,36,12,.333
-,Northern Ill.,3,45,15,.333
-,Rice,4,54,18,.333
-,UCF,2,27,9,.333
-,North Texas,4,45,15,.333
105,Pittsburgh,4,61,20,.328
106,Wyoming,4,58,19,.328
-,Texas St.,4,58,19,.328
108,Utah,4,52,17,.327
109,Tulane,4,50,16,.320
-,Eastern Mich.,3,50,16,.320
111,Southern Miss.,3,47,15,.319
112,North Carolina,4,54,17,.315
-,Purdue,4,54,17,.315
114,Boston College,4,74,23,.311
115,Bowling Green,4,66,20,.303
116,Charlotte,4,60,18,.300
117,Florida St.,2,27,8,.296
118,Old Dominion,4,61,18,.295
119,Idaho,4,51,15,.294
120,Baylor,4,56,16,.286
121,New Mexico,4,50,14,.280
-,Middle Tenn.,4,50,14,.280
123,Central Mich.,4,65,18,.277
124,Fla. Atlantic,4,51,14,.275
125,San Jose St.,5,76,20,.263
126,Ga. Southern,3,48,12,.250
127,Maryland,3,30,7,.233
128,UTEP,4,53,12,.226
129,South Ala.,4,45,9,.200
