Rank,Team,G,Plays,YDS,Yds/Play,Off TDs,YPG
1,Oklahoma,4,267,2422,9.07,26,605.5
2,West Virginia,4,321,2379,7.41,26,594.8
3,Texas Tech,3,232,1762,7.59,17,587.3
4,Oklahoma St.,4,286,2320,8.11,22,580.0
5,UCLA,4,305,2287,7.50,23,571.8
6,Miami (FL),2,127,1137,8.95,12,568.5
7,Oregon,4,316,2228,7.05,28,557.0
8,Louisville,4,288,2201,7.64,17,550.3
9,Ohio St.,4,308,2196,7.13,19,549.0
10,Toledo,4,313,2087,6.67,18,521.8
11,Wisconsin,3,220,1533,6.97,16,511.0
12,Clemson,4,310,2041,6.58,20,510.3
13,UCF,2,147,1015,6.90,12,507.5
14,Virginia Tech,4,313,2029,6.48,19,507.3
15,Washington St.,4,325,2017,6.21,20,504.3
16,North Texas,4,277,2014,7.27,19,503.5
17,SMU,4,300,2001,6.67,23,500.3
18,TCU,4,303,1988,6.56,23,497.0
19,Ole Miss,3,198,1490,7.53,13,496.7
20,Penn St.,4,269,1986,7.38,20,496.5
21,South Fla.,4,362,1975,5.46,20,493.8
22,Southern California,4,305,1968,6.45,18,492.0
23,Navy,3,217,1474,6.79,15,491.3
24,UConn,3,222,1468,6.61,12,489.3
25,Texas,3,247,1462,5.92,12,487.3
26,Georgia Tech,3,226,1461,6.46,16,487.0
27,Tulsa,4,336,1933,5.75,18,483.3
28,Alabama,4,279,1930,6.92,20,482.5
29,UTSA,3,204,1446,7.09,13,482.0
30,Kansas,4,321,1922,5.99,16,480.5
31,Hawaii,4,305,1921,6.30,16,480.3
32,Memphis,3,212,1440,6.79,14,480.0
33,Colorado St.,4,318,1918,6.03,14,479.5
34,Arizona,4,309,1915,6.20,20,478.8
35,New Mexico St.,4,305,1893,6.21,17,473.3
36,Michigan St.,3,237,1418,5.98,10,472.7
37,Arkansas St.,3,232,1417,6.11,13,472.3
38,Duke,4,350,1880,5.37,17,470.0
39,Syracuse,4,347,1857,5.35,15,464.3
40,Texas A&M;,4,319,1845,5.78,18,461.3
41,NC State,4,307,1844,6.01,18,461.0
42,Iowa St.,3,213,1380,6.48,14,460.0
43,UNLV,3,194,1378,7.10,11,459.3
44,Notre Dame,4,289,1837,6.36,19,459.3
45,Northwestern,3,216,1377,6.38,13,459.0
46,Southern Miss.,3,234,1375,5.88,10,458.3
47,Central Mich.,4,333,1816,5.45,13,454.0
48,Stanford,4,239,1805,7.55,20,451.3
49,La.-Monroe,3,229,1348,5.89,14,449.3
50,Louisiana,4,297,1794,6.04,21,448.5
51,Troy,4,288,1791,6.22,12,447.8
52,Missouri,4,266,1781,6.70,13,445.3
53,Utah,4,302,1771,5.86,13,442.8
54,Mississippi St.,4,287,1759,6.13,16,439.8
55,Utah St.,4,315,1756,5.57,13,439.0
56,Virginia,4,303,1734,5.72,17,433.5
57,North Carolina,4,291,1729,5.94,17,432.3
58,Wake Forest,4,296,1728,5.84,17,432.0
59,Houston,3,227,1294,5.70,10,431.3
60,Arizona St.,4,311,1725,5.55,17,431.3
61,Kansas St.,3,184,1289,7.01,12,429.7
62,California,4,308,1715,5.57,13,428.8
63,East Carolina,4,309,1709,5.53,11,427.3
64,Washington,4,237,1708,7.21,19,427.0
65,Appalachian St.,4,277,1680,6.06,12,420.0
66,Colorado,4,297,1655,5.57,11,413.8
67,Baylor,4,268,1649,6.15,14,412.3
68,Auburn,4,299,1644,5.50,14,411.0
69,Ohio,4,281,1639,5.83,18,409.8
70,New Mexico,4,273,1634,5.99,10,408.5
71,Michigan,4,281,1629,5.80,9,407.3
72,Maryland,3,177,1213,6.85,15,404.3
73,LSU,4,258,1617,6.27,14,404.3
74,Indiana,3,235,1212,5.16,11,404.0
75,Fla. Atlantic,4,267,1605,6.01,13,401.3
76,Louisiana Tech,4,282,1601,5.68,10,400.3
77,Fresno St.,3,207,1199,5.79,10,399.7
78,UAB,4,287,1597,5.56,18,399.3
79,Ball St.,4,295,1592,5.40,16,398.0
80,San Diego St.,4,271,1585,5.85,13,396.3
81,Purdue,4,280,1568,5.60,15,392.0
82,Idaho,4,269,1562,5.81,13,390.5
83,Georgia,4,259,1557,6.01,16,389.3
84,Minnesota,3,214,1162,5.43,11,387.3
85,Massachusetts,5,350,1925,5.50,15,385.0
86,Air Force,3,205,1148,5.60,13,382.7
87,Tennessee,4,269,1525,5.67,15,381.3
88,Arkansas,3,193,1139,5.90,13,379.7
89,Buffalo,4,261,1518,5.82,11,379.5
90,Nebraska,4,296,1514,5.11,14,378.5
91,Army West Point,4,263,1501,5.71,14,375.3
92,Eastern Mich.,3,220,1117,5.08,5,372.3
93,Iowa,4,269,1468,5.46,16,367.0
94,Marshall,3,199,1099,5.52,6,366.3
95,Northern Ill.,3,210,1079,5.14,8,359.7
96,FIU,3,191,1071,5.61,5,357.0
97,Western Mich.,4,270,1426,5.28,14,356.5
98,Oregon St.,4,258,1424,5.52,12,356.0
99,Boise St.,4,276,1405,5.09,13,351.3
100,South Carolina,4,242,1401,5.79,11,350.3
101,Miami (OH),4,281,1397,4.97,13,349.3
102,Tulane,4,251,1390,5.54,13,347.5
103,Kentucky,4,250,1383,5.53,10,345.8
104,Western Ky.,4,280,1346,4.81,11,336.5
105,Middle Tenn.,4,258,1341,5.20,8,335.3
106,Akron,4,276,1321,4.79,10,330.3
107,Bowling Green,4,276,1320,4.78,4,330.0
108,Pittsburgh,4,287,1316,4.59,8,329.0
109,South Ala.,4,245,1312,5.36,10,328.0
110,Rutgers,4,271,1307,4.82,13,326.8
111,Nevada,4,267,1301,4.87,10,325.3
112,Florida,3,173,967,5.59,6,322.3
113,Georgia St.,3,210,962,4.58,4,320.7
114,Boston College,4,325,1282,3.94,6,320.5
115,Florida St.,2,125,632,5.06,2,316.0
116,Cincinnati,4,274,1248,4.55,11,312.0
117,San Jose St.,5,349,1465,4.20,8,293.0
118,Rice,4,257,1168,4.54,6,292.0
119,Illinois,3,179,870,4.86,7,290.0
120,Charlotte,4,255,1157,4.54,6,289.3
121,Texas St.,4,265,1156,4.36,5,289.0
122,Temple,4,264,1155,4.38,6,288.8
123,Old Dominion,4,249,1116,4.48,8,279.0
-,Vanderbilt,4,217,1116,5.14,12,279.0
125,Wyoming,4,235,1078,4.59,7,269.5
126,Ga. Southern,3,205,779,3.80,3,259.7
127,Kent St.,4,238,928,3.90,5,232.0
128,BYU,4,209,887,4.24,4,221.8
129,UTEP,4,228,841,3.69,6,210.3
